スキルNo,覚醒種類
0,null
1,HP強化
2,攻撃強化
3,回復強化
4,火ダメージ軽減
5,水ダメージ軽減
6,木ダメージ軽減
7,光ダメージ軽減
8,闇ダメージ軽減
9,自動回復
10,-
11,暗闇耐性
12,お邪魔耐性
13,毒耐性
14,-
15,-
16,-
17,-
18,-
19,-
20,バインド回復
21,スキルブースト
22,火列強化
23,水列強化
24,木列強化
25,光列強化
26,闇列強化
27,2体攻撃
28,封印耐性
29,回復ドロップ強化
30,マルチブースト
31,ドラゴンキラー
32,神キラー
33,悪魔キラー
34,マシンキラー
35,バランスキラー
36,攻撃キラー
37,体力キラー
38,回復キラー
39,進化用キラー
40,能力覚醒用キラー
41,強化合成用キラー
42,売却用キラー
43,コンボ強化（7強）
44,ガードブレイク
45,追加攻撃（回復縦消し）
46,チームHP強化
47,チーム回復強化
48,ダメージ無効貫通
49,覚醒アシスト
50,超追加攻撃（回復正方形）
51,スキルチャージ
52,バインド耐性＋
53,操作時間延長＋
54,雲耐性
55,操作不可耐性
56,スキルブースト＋
57,HP50%以上強化
58,HP50%以下強化
59,回復L字消し
60,L字消し攻撃
61,超コンボ強化（10強）
62,コンボドロップ生成
63,スキルボイス
64,ダンジョンボーナス
65,HP弱化
66,攻撃弱化
67,回復弱化
68,暗闇耐性＋
69,お邪魔耐性＋
70,毒耐性＋
71,お邪魔ドロップの加護
72,毒ドロップの加護
73,火コンボ強化
74,水コンボ強化
75,木コンボ強化
76,光コンボ強化
77,闇コンボ強化
78,十字消し攻撃
79,3色攻撃強化
80,4色攻撃強化
81,5色攻撃強化
82,超つなげ消し強化
83,ドラゴンタイプ追加
84,神タイプ追加
85,悪魔タイプ追加
86,マシンタイプ追加
87,バランスタイプ追加
88,攻撃タイプ追加
89,体力タイプ追加
90,回復タイプ追加
91,副属性変更・火
92,副属性変更・水
93,副属性変更・木
94,副属性変更・光
95,副属性変更・闇
96,2体攻撃＋
97,スキルチャージ＋
98,自動回復＋
99,火ドロップ強化＋
100,水ドロップ強化＋
101,木ドロップ強化＋
102,光ドロップ強化＋
103,闇ドロップ強化＋
104,回復ドロップ強化＋
105,スキルブーストマイナス
106,浮遊
107,コンボ強化＋（７強＋）
108,L字消し攻撃＋
109,ダメージ無効貫通＋
110,十字消し攻撃＋
111,超コンボ強化＋（10強＋）
112,3色攻撃強化＋
113,4色攻撃強化＋
114,5色攻撃強化＋
115,バインド回復＋
116,火列強化x3
117,水列強化x3
118,木列強化x3
119,光列強化x3
120,闇列強化x3
121,火コンボ強化＋
122,水コンボ強化＋
123,木コンボ強化＋
124,光コンボ強化＋
125,闇コンボ強化＋
126,T字消し攻撃
127,全パラメータ強化
128,陽の加護
129,陰の加護
130,熟成
131,部位破壊ボーナス
132,アフタヌーンティ
133,火水同時攻撃
134,水木同時攻撃
135,木火同時攻撃
136,スキル遅延耐性
137,5色ドロップ強化
138,アシスト共鳴
139,自力
140,操作時間変更耐性
141,達人多色強化
142,全パラメータ強化＋
